[2026-05-17T07:39:22.985Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-F32QSB3J.js?v=2c6040f9 → 200 (?ms, 37368B)
[2026-05-17T07:39:22.988Z] GET http://localhost:5174/node_modules/.vite/deps/react-router-dom.js?v=640f162c → 200 (?ms, 209992B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/store/authStore.ts → 304 (4ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/components/Layout.tsx?t=1779003501377 → 304 (5ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/Login.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/Dashboard.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/OrderUpload.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/ParseReview.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/ProductionList.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/ShipmentDocs.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/pages/Admin.tsx → 304 (6ms, ?B)
[2026-05-17T07:39:22.989Z] GET http://localhost:5174/src/components/Suspended.tsx → 304 (6ms, ?B)
[2026-05-17T07:39:22.993Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=2b5a9409 → 200 (?ms, 11810B)
[2026-05-17T07:39:22.993Z] GET http://localhost:5174/node_modules/.vite/deps/zustand_middleware.js?v=98d5f18f → 200 (?ms, 19128B)
[2026-05-17T07:39:22.994Z] GET http://localhost:5174/src/api/auth.ts → 304 (3ms, ?B)
[2026-05-17T07:39:22.995Z] GET http://localhost:5174/src/api/orders.ts → 304 (3ms, ?B)
[2026-05-17T07:39:22.995Z] GET http://localhost:5174/src/components/FieldEditor.tsx → 304 (3ms, ?B)
[2026-05-17T07:39:22.995Z] GET http://localhost:5174/src/api/production.ts → 304 (3ms, ?B)
[2026-05-17T07:39:22.995Z] GET http://localhost:5174/src/api/shipment.ts → 304 (3ms, ?B)
[2026-05-17T07:39:22.997Z] GET http://localhost:5174/src/api/admin.ts → 304 (1ms, ?B)
[2026-05-17T07:39:22.998Z] GET http://localhost:5174/src/api/client.ts → 304 (?ms, ?B)
[2026-05-17T07:39:22.998Z] GET http://localhost:5174/src/components/ConfidenceScore.tsx → 304 (?ms, ?B)
[2026-05-17T07:39:23.424Z] GET http://localhost:5174/ → 200 (3ms, 579B)
[2026-05-17T07:39:23.430Z] GET http://localhost:5174/@vite/client → 304 (?ms, ?B)
[2026-05-17T07:39:23.430Z] GET http://localhost:5174/src/main.tsx?t=1779003501377 → 304 (?ms, ?B)
[2026-05-17T07:39:23.431Z] GET http://localhost:5174/@react-refresh → 304 (4ms, ?B)
[2026-05-17T07:39:23.431Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (4ms, ?B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bc2f83cb → 200 (?ms, 37035B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=bc2f83cb → 200 (?ms, 219B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=bd4e02c1 → 200 (?ms, 1118B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/node_modules/.vite/deps/@tanstack_react-query.js?v=9f9393fa → 200 (?ms, 132860B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/src/App.tsx?t=1779003501377 → 304 (3ms, ?B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/src/index.css?t=1779003501377 → 304 (4ms, ?B)
[2026-05-17T07:39:23.433Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-HPDSNDDJ.js?v=2c6040f9 → 200 (?ms, 77818B)
[2026-05-17T07:39:23.434Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-3O7X656O.js?v=2c6040f9 → 200 (?ms, 2454B)
[2026-05-17T07:39:23.434Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-LGZLQBMG.js?v=2c6040f9 → 200 (?ms, 928095B)
[2026-05-17T07:39:23.435Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-F32QSB3J.js?v=2c6040f9 → 200 (?ms, 37368B)
[2026-05-17T07:39:23.437Z] GET http://localhost:5174/node_modules/.vite/deps/react-router-dom.js?v=640f162c → 200 (?ms, 209992B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/store/authStore.ts → 304 (1ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/components/Layout.tsx?t=1779003501377 → 304 (1ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/Login.tsx → 304 (1ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/Dashboard.tsx → 304 (2ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/OrderUpload.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/ParseReview.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/ProductionList.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/ShipmentDocs.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/pages/Admin.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:23.438Z] GET http://localhost:5174/src/components/Suspended.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:23.442Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=2b5a9409 → 200 (?ms, 11810B)
[2026-05-17T07:39:23.442Z] GET http://localhost:5174/node_modules/.vite/deps/zustand_middleware.js?v=98d5f18f → 200 (?ms, 19128B)
[2026-05-17T07:39:23.443Z] GET http://localhost:5174/src/api/auth.ts → 304 (2ms, ?B)
[2026-05-17T07:39:23.443Z] GET http://localhost:5174/src/api/orders.ts → 304 (2ms, ?B)
[2026-05-17T07:39:23.443Z] GET http://localhost:5174/src/components/FieldEditor.tsx → 304 (2ms, ?B)
[2026-05-17T07:39:23.443Z] GET http://localhost:5174/src/api/production.ts → 304 (2ms, ?B)
[2026-05-17T07:39:23.443Z] GET http://localhost:5174/src/api/shipment.ts → 304 (3ms, ?B)
[2026-05-17T07:39:23.443Z] GET http://localhost:5174/src/api/admin.ts → 304 (3ms, ?B)
[2026-05-17T07:39:23.445Z] GET http://localhost:5174/src/api/client.ts → 304 (1ms, ?B)
[2026-05-17T07:39:23.446Z] GET http://localhost:5174/src/components/ConfidenceScore.tsx → 304 (?ms, ?B)
[2026-05-17T07:39:35.126Z] GET http://localhost:5174/login → 200 (5ms, 579B)
[2026-05-17T07:39:35.135Z] GET http://localhost:5174/@vite/client → 304 (1ms, ?B)
[2026-05-17T07:39:35.135Z] GET http://localhost:5174/src/main.tsx?t=1779003501377 → 304 (1ms, ?B)
[2026-05-17T07:39:35.137Z] GET http://localhost:5174/@react-refresh → 304 (9ms, ?B)
[2026-05-17T07:39:35.137Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (9ms, ?B)
[2026-05-17T07:39:35.140Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bc2f83cb → 200 (?ms, 37035B)
[2026-05-17T07:39:35.140Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=bc2f83cb → 200 (?ms, 219B)
[2026-05-17T07:39:35.140Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=bd4e02c1 → 200 (?ms, 1118B)
[2026-05-17T07:39:35.141Z] GET http://localhost:5174/node_modules/.vite/deps/@tanstack_react-query.js?v=9f9393fa → 200 (?ms, 132860B)
[2026-05-17T07:39:35.141Z] GET http://localhost:5174/src/App.tsx?t=1779003501377 → 304 (5ms, ?B)
[2026-05-17T07:39:35.141Z] GET http://localhost:5174/src/index.css?t=1779003501377 → 304 (6ms, ?B)
[2026-05-17T07:39:35.141Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-HPDSNDDJ.js?v=2c6040f9 → 200 (?ms, 77818B)
[2026-05-17T07:39:35.141Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-3O7X656O.js?v=2c6040f9 → 200 (?ms, 2454B)
[2026-05-17T07:39:35.141Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-LGZLQBMG.js?v=2c6040f9 → 200 (?ms, 928095B)
[2026-05-17T07:39:35.142Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-F32QSB3J.js?v=2c6040f9 → 200 (?ms, 37368B)
[2026-05-17T07:39:35.147Z] GET http://localhost:5174/node_modules/.vite/deps/react-router-dom.js?v=640f162c → 200 (?ms, 209992B)
[2026-05-17T07:39:35.147Z] GET http://localhost:5174/src/store/authStore.ts → 304 (4ms, ?B)
[2026-05-17T07:39:35.147Z] GET http://localhost:5174/src/components/Layout.tsx?t=1779003501377 → 304 (5ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/Login.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/Dashboard.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/OrderUpload.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/ParseReview.tsx → 304 (6ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/ProductionList.tsx → 304 (6ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/ShipmentDocs.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/pages/Admin.tsx → 304 (6ms, ?B)
[2026-05-17T07:39:35.148Z] GET http://localhost:5174/src/components/Suspended.tsx → 304 (6ms, ?B)
[2026-05-17T07:39:35.152Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=2b5a9409 → 200 (?ms, 11810B)
[2026-05-17T07:39:35.152Z] GET http://localhost:5174/node_modules/.vite/deps/zustand_middleware.js?v=98d5f18f → 200 (?ms, 19128B)
[2026-05-17T07:39:35.153Z] GET http://localhost:5174/src/api/auth.ts → 304 (2ms, ?B)
[2026-05-17T07:39:35.153Z] GET http://localhost:5174/src/api/orders.ts → 304 (2ms, ?B)
[2026-05-17T07:39:35.154Z] GET http://localhost:5174/src/api/shipment.ts → 304 (3ms, ?B)
[2026-05-17T07:39:35.154Z] GET http://localhost:5174/src/components/FieldEditor.tsx → 304 (3ms, ?B)
[2026-05-17T07:39:35.154Z] GET http://localhost:5174/src/api/admin.ts → 304 (4ms, ?B)
[2026-05-17T07:39:35.155Z] GET http://localhost:5174/src/api/production.ts → 304 (3ms, ?B)
[2026-05-17T07:39:35.155Z] GET http://localhost:5174/src/api/client.ts → 304 (3ms, ?B)
[2026-05-17T07:39:35.158Z] GET http://localhost:5174/src/components/ConfidenceScore.tsx → 304 (?ms, ?B)
[2026-05-17T07:39:35.583Z] GET http://localhost:5174/ → 200 (2ms, 579B)
[2026-05-17T07:39:35.588Z] GET http://localhost:5174/@vite/client → 304 (1ms, ?B)
[2026-05-17T07:39:35.588Z] GET http://localhost:5174/src/main.tsx?t=1779003501377 → 304 (1ms, ?B)
[2026-05-17T07:39:35.590Z] GET http://localhost:5174/@react-refresh → 304 (5ms, ?B)
[2026-05-17T07:39:35.590Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (6ms, ?B)
[2026-05-17T07:39:35.592Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=bc2f83cb → 200 (?ms, 37035B)
[2026-05-17T07:39:35.592Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=bc2f83cb → 200 (?ms, 219B)
[2026-05-17T07:39:35.592Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=bd4e02c1 → 200 (?ms, 1118B)
[2026-05-17T07:39:35.593Z] GET http://localhost:5174/node_modules/.vite/deps/@tanstack_react-query.js?v=9f9393fa → 200 (?ms, 132860B)
[2026-05-17T07:39:35.593Z] GET http://localhost:5174/src/App.tsx?t=1779003501377 → 304 (3ms, ?B)
[2026-05-17T07:39:35.593Z] GET http://localhost:5174/src/index.css?t=1779003501377 → 304 (6ms, ?B)
[2026-05-17T07:39:35.593Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-HPDSNDDJ.js?v=2c6040f9 → 200 (?ms, 77818B)
[2026-05-17T07:39:35.593Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-3O7X656O.js?v=2c6040f9 → 200 (?ms, 2454B)
[2026-05-17T07:39:35.595Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-LGZLQBMG.js?v=2c6040f9 → 200 (?ms, 928095B)
[2026-05-17T07:39:35.595Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-F32QSB3J.js?v=2c6040f9 → 200 (?ms, 37368B)
[2026-05-17T07:39:35.599Z] GET http://localhost:5174/node_modules/.vite/deps/react-router-dom.js?v=640f162c → 200 (?ms, 209992B)
[2026-05-17T07:39:35.599Z] GET http://localhost:5174/src/store/authStore.ts → 304 (5ms, ?B)
[2026-05-17T07:39:35.599Z] GET http://localhost:5174/src/components/Layout.tsx?t=1779003501377 → 304 (5ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/Login.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/Dashboard.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/OrderUpload.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/ParseReview.tsx → 304 (4ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/ProductionList.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/ShipmentDocs.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/pages/Admin.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.600Z] GET http://localhost:5174/src/components/Suspended.tsx → 304 (5ms, ?B)
[2026-05-17T07:39:35.604Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=2b5a9409 → 200 (?ms, 11810B)
[2026-05-17T07:39:35.604Z] GET http://localhost:5174/node_modules/.vite/deps/zustand_middleware.js?v=98d5f18f → 200 (?ms, 19128B)
[2026-05-17T07:39:35.605Z] GET http://localhost:5174/src/api/auth.ts → 304 (3ms, ?B)
[2026-05-17T07:39:35.605Z] GET http://localhost:5174/src/api/orders.ts → 304 (3ms, ?B)
[2026-05-17T07:39:35.605Z] GET http://localhost:5174/src/components/FieldEditor.tsx → 304 (3ms, ?B)
[2026-05-17T07:39:35.605Z] GET http://localhost:5174/src/api/production.ts → 304 (4ms, ?B)
[2026-05-17T07:39:35.605Z] GET http://localhost:5174/src/api/shipment.ts → 304 (4ms, ?B)
